,Code,PT,DOMES,Description,Lat,Lon,Height
0,BRUS,A,13101M004,"Brussels, Belgium",50 47 52.1,4 21 33.1,149.7
1,ZIMM,A,14001M004,"Zimmerwald, Switzerlan",46 52 37.5,7 27 55.0,956.3
2,GRAZ,A,11001M002,"Graz, Austria",47 04 01.6,15 29 36.5,538.3
3,JOZE,A,12204M001,"Jozefoslaw, Poland",52 05 50.1,21 01 53.5,141.4
4,KOSG,A,13504M003,"Kootwijk, Netherlands",52 10 42.3,5 48 34.7,96.8
5,ONSA,A,10402M004,"Onsala, Sweden",57 23 43.0,11 55 31.8,45.6
6,CAGL,A,12725M003,"Cagliari, Italy",39 08 09.2,8 58 21.9,238.4
7,GRAS,A,10002M006,"Caussols, France",43 45 17.0,6 55 14.0,1319.3
8,NOTO,A,12717M003,"Noto, Italy",36 52 33.9,14 59 23.3,126.2
9,VILL,A,13406M001,"Villafranca, Spain",40 26 36.9,356 02 52.8,647.3
10,THU1,A,43001M001,"Thule, Greenland",76 32 14.4,291 12 43.1,55
11,KIRU,A,10403M002,"Kiruna, Sweden",67 51 26.4,20 58 06.4,391
12,LHAS,A,21613M001,"LHASA, China",29 39 26.4,91 06 14.3,3624.7
13,PERT,A,50133M001,"Perth, Australia",-31 48 07.0,115 53 06.9,12.7
14,YAR1,A,50107M004,"Dongara, Australia",-29 02 47.5,115 20 49.1,241.3
15,CAS1,A,66011M001,"Casey, Antarctica",-66 17 00.0,110 31 10.9,22.5
16,TIDB,A,50103M108,"Tidbinbilla, Australia",-35 23 57.1,148 58 47.9,665.3
17,TOW2,A,50140M001,"Cape Ferguson, Austral",-19 16 09.3,147 03 20.4,88.1
18,BRMU,A,42501S004,"Bermuda, UK",32 22 13.4,295 18 13.4,-11.6
19,CHUR,A,40128M002,"CHURCHILL, CANADA",58 45 32.6,265 54 40.5,-19.3
20,WES2,A,40440S020,"Westford, USA",42 36 48.0,288 30 24.0,85
21,GODE,A,40451M123,"Greenbelt, USA",39 01 18.2,283 10 23.4,14.5
22,ALGO,A,40104M002,"ALGONQUIN PARK, CANADA",45 57 20.8,281 55 43.0,200.9
